사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2021072500100311,2021년 7월 25일 18시,일요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,21세,상해없음,보행자,남,66세,경상
2021073100100265,2021년 7월 31일 14시,토요일,서울특별시 동대문구 답십리동,경상사고,0,0,1,0,차대사람 - 차도통행중,기타,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,여,70세,경상
2021080500100129,2021년 8월 5일 10시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,25세,기타불명,보행자,여,72세,중상
2021080500100210,2021년 8월 5일 12시,목요일,서울특별시 동대문구 제기동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,흐림,교차로 - 교차로횡단보도내,화물,남,39세,상해없음,보행자,여,78세,사망
2021080600100097,2021년 8월 6일 09시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,83세,상해없음,보행자,여,69세,경상
2021080700100130,2021년 8월 7일 11시,토요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,화물,남,48세,상해없음,보행자,남,72세,경상
2021080700100131,2021년 8월 7일 11시,토요일,서울특별시 동대문구 장안동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,77세,상해없음,보행자,여,83세,사망
2021082000100264,2021년 8월 20일 14시,금요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,67세,상해없음,보행자,여,85세,중상
2021082100100236,2021년 8월 21일 14시,토요일,서울특별시 동대문구 이문동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,단일로 - 기타,승용,남,64세,상해없음,보행자,남,92세,사망
2021082600100387,2021년 8월 26일 17시,목요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,42세,상해없음,보행자,여,65세,중상
2021083100100163,2021년 8월 31일 11시,화요일,서울특별시 동대문구 청량리동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,흐림,단일로 - 기타,이륜,남,30세,상해없음,보행자,여,71세,경상
2021090200100472,2021년 9월 2일 20시,목요일,서울특별시 동대문구 답십리동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,여,68세,상해없음,보행자,남,65세,중상
2021090600100296,2021년 9월 6일 14시,월요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,기타,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,66세,경상
2021090700100442,2021년 9월 7일 19시,화요일,서울특별시 동대문구 휘경동,사망사고,1,0,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,단일로 - 기타,이륜,남,23세,상해없음,보행자,남,82세,사망
2021091000100076,2021년 9월 10일 08시,금요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,여,73세,중상
2021091300100023,2021년 9월 13일 05시,월요일,서울특별시 동대문구 휘경동,중상사고,0,1,0,0,차대사람 - 보도통행중,신호위반,건조,흐림,교차로 - 교차로횡단보도내,승용,남,21세,상해없음,보행자,남,92세,중상
2021091400100670,2021년 9월 14일 21시,화요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,54세,상해없음,보행자,여,79세,경상
2021091500100387,2021년 9월 15일 15시,수요일,서울특별시 동대문구 장안동,사망사고,1,0,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,55세,상해없음,보행자,여,71세,사망
2021091700100162,2021년 9월 17일 10시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,여,70세,경상
2021092500100034,2021년 9월 25일 07시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,기타 - 기타,화물,남,69세,상해없음,보행자,여,80세,중상
2021092600100046,2021년 9월 26일 08시,일요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,보행자,남,69세,경상
2021092600100141,2021년 9월 26일 13시,일요일,서울특별시 동대문구 장안동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,49세,상해없음,보행자,여,78세,경상
2021093000100128,2021년 9월 30일 09시,목요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,70세,상해없음,보행자,여,75세,경상
2021093000100226,2021년 9월 30일 12시,목요일,서울특별시 동대문구 이문동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,57세,상해없음,보행자,남,65세,경상
2021093000100381,2021년 9월 30일 16시,목요일,서울특별시 동대문구 용두동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,건설기계,남,35세,상해없음,보행자,여,79세,사망
2021100200100049,2021년 10월 2일 07시,토요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,75세,상해없음,보행자,여,72세,중상
2021100200100151,2021년 10월 2일 11시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,54세,상해없음,보행자,여,73세,중상
2021100200100311,2021년 10월 2일 15시,토요일,서울특별시 동대문구 용두동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,21세,상해없음,보행자,남,76세,중상
2021100200100363,2021년 10월 2일 16시,토요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,보행자,남,73세,경상
2021101200100047,2021년 10월 12일 07시,화요일,서울특별시 동대문구 제기동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,47세,상해없음,보행자,여,66세,중상
2021101900100100,2021년 10월 19일 09시,화요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,49세,상해없음,보행자,여,79세,경상
2021102200100234,2021년 10월 22일 12시,금요일,서울특별시 동대문구 제기동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,53세,상해없음,보행자,남,71세,경상
2021103000100076,2021년 10월 30일 08시,토요일,서울특별시 동대문구 청량리동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,43세,상해없음,보행자,남,65세,경상
2021103000100142,2021년 10월 30일 11시,토요일,서울특별시 동대문구 장안동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,65세,상해없음,보행자,여,78세,중상
